id,sweaterNumber,headshot,teamAbbrev,teamLogo,position,value,firstName.default,lastName.default,teamName.default,lastName.cs,lastName.fi,lastName.sk,firstName.cs,firstName.fi,firstName.sk,teamName.fr,firstName.de,firstName.es,firstName.sv,lastName.sv,firstName.fr,lastName.de,lastName.es
8477934,29,https://assets.nhle.com/mugs/nhl/20242025/EDM/8477934.png,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,C,31,Leon,Draisaitl,Oilers,,,,,,,,,,,,,,
8478420,96,https://assets.nhle.com/mugs/nhl/20242025/COL/8478420.png,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,R,25,Mikko,Rantanen,Avalanche,,,,,,,,,,,,,,
8476460,55,https://assets.nhle.com/mugs/nhl/20242025/WPG/8476460.png,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,C,25,Mark,Scheifele,Jets,,,,,,,,,,,,,,
8477933,13,https://assets.nhle.com/mugs/nhl/20242025/FLA/8477933.png,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,C,25,Sam,Reinhart,Panthers,,,,,,,,,,,,,,
8478010,21,https://assets.nhle.com/mugs/nhl/20242025/TBL/8478010.png,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,C,25,Brayden,Point,Lightning,,,,,,,,,,,,,,
8477939,88,https://assets.nhle.com/mugs/nhl/20242025/TOR/8477939.png,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,R,24,William,Nylander,Maple Leafs,,,,,,,,,,,,,,
8478398,81,https://assets.nhle.com/mugs/nhl/20242025/WPG/8478398.png,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,L,23,Kyle,Connor,Jets,,,,,,,,,,,,,,
8478864,97,https://assets.nhle.com/mugs/nhl/20242025/MIN/8478864.png,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,L,23,Kirill,Kaprizov,Wild,,,,,,,,,,,,,,
8481540,13,https://assets.nhle.com/mugs/nhl/20242025/MTL/8481540.png,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,R,23,Cole,Caufield,Canadiens,,,,,,,,,,,,,,
8476483,67,https://assets.nhle.com/mugs/nhl/20242025/PIT/8476483.png,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,R,22,Rickard,Rakell,Penguins,,,,,,,,,,,,,,
8477404,59,https://assets.nhle.com/mugs/nhl/20242025/TBL/8477404.png,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,C,21,Jake,Guentzel,Lightning,,,,,,,,,,,,,,
8476453,86,https://assets.nhle.com/mugs/nhl/20242025/TBL/8476453.png,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,R,20,Nikita,Kucherov,Lightning,Kučerov,Kutsherov,Kučerov,,,,,,,,,,,
8478439,11,https://assets.nhle.com/mugs/nhl/20242025/PHI/8478439.png,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,R,20,Travis,Konecny,Flyers,,,,,,,,,,,,,,
8479542,38,https://assets.nhle.com/mugs/nhl/20242025/TBL/8479542.png,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,L,20,Brandon,Hagel,Lightning,,,,,,,,,,,,,,
8475166,91,https://assets.nhle.com/mugs/nhl/20242025/TOR/8475166.png,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,C,20,John,Tavares,Maple Leafs,,,,,,,,,,,,,,
8477960,9,https://assets.nhle.com/mugs/nhl/20242025/LAK/8477960.png,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,R,20,Adrian,Kempe,Kings,,,,,,,,,,,,,,
8471214,8,https://assets.nhle.com/mugs/nhl/20242025/WSH/8471214.png,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,L,20,Alex,Ovechkin,Capitals,Ovečkin,Ovetshkin,Ovečkin,Alexandr,Aleksandr,Alexander,,,,,,,,
8477956,88,https://assets.nhle.com/mugs/nhl/20242025/BOS/8477956.png,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,R,19,David,Pastrnak,Bruins,Pastrňák,,Pastrňák,,,,,,,,,,,
8479385,25,https://assets.nhle.com/mugs/nhl/20242025/STL/8479385.png,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,C,19,Jordan,Kyrou,Blues,,,,,,,,,,,,,,
8480014,13,https://assets.nhle.com/mugs/nhl/20242025/WPG/8480014.png,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,C,19,Gabriel,Vilardi,Jets,,,,,,,,,,,,,,
8479337,93,https://assets.nhle.com/mugs/nhl/20242025/DET/8479337.png,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,R,19,Alex,DeBrincat,Red Wings,,,,,,,,,,,,,,
8480002,13,https://assets.nhle.com/mugs/nhl/20242025/NJD/8480002.png,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,C,19,Nico,Hischier,Devils,,,,,,,,,,,,,,
8475314,27,https://assets.nhle.com/mugs/nhl/20242025/NYI/8475314.png,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,L,19,Anders,Lee,Islanders,,,,,,,,,,,,,,
8479420,72,https://assets.nhle.com/mugs/nhl/20242025/BUF/8479420.png,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,C,19,Tage,Thompson,Sabres,,,,,,,,,,,,,,
8476880,43,https://assets.nhle.com/mugs/nhl/20242025/WSH/8476880.png,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,R,19,Tom,Wilson,Capitals,,,,,,,,,,,,,,
8478449,24,https://assets.nhle.com/mugs/nhl/20242025/DAL/8478449.png,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,C,19,Roope,Hintz,Stars,,,,,,,,,,,,,,
8480893,86,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8480893.png,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,R,18,Kirill,Marchenko,Blue Jackets,Marčenko,Martshenko,Marčenko,,,,,,,,,,,
8480801,7,https://assets.nhle.com/mugs/nhl/20242025/OTT/8480801.png,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,L,18,Brady,Tkachuk,Senators,,,,,,,Sénateurs,,,,,,,
8477946,71,https://assets.nhle.com/mugs/nhl/20242025/DET/8477946.png,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,C,18,Dylan,Larkin,Red Wings,,,,,,,,,,,,,,
8481656,21,https://assets.nhle.com/mugs/nhl/20242025/WSH/8481656.png,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,C,18,Aliaksei,Protas,Capitals,,,,Alexej,Aljaksei,Alexej,,Alexei,Alexei,,,,,
8476456,10,https://assets.nhle.com/mugs/nhl/20242025/CGY/8476456.png,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,C,18,Jonathan,Huberdeau,Flames,,,,,,,,,,,,,,
8481559,86,https://assets.nhle.com/mugs/nhl/20242025/NJD/8481559.png,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,C,17,Jack,Hughes,Devils,,,,,,,,,,,,,,
8482078,23,https://assets.nhle.com/mugs/nhl/20242025/DET/8482078.png,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,L,17,Lucas,Raymond,Red Wings,,,,,,,,,,,,,,
8478550,10,https://assets.nhle.com/mugs/nhl/20242025/NYR/8478550.png,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,L,17,Artemi,Panarin,Rangers,,,,Artěmij,,Artemij,,,,,,,,
8478519,71,https://assets.nhle.com/mugs/nhl/20242025/TBL/8478519.png,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,C,17,Anthony,Cirelli,Lightning,,,,,,,,,,,,,,
8481580,24,https://assets.nhle.com/mugs/nhl/20242025/WSH/8481580.png,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,C,17,Connor,McMichael,Capitals,,,,,,,,,,,,,,
8481716,10,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8481716.png,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,L,17,Dmitri,Voronkov,Blue Jackets,,,,Dmitrij,,Dmitrij,,,,,,,,
